timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/03/31 10:46:41.217, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:41.328, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:41.428, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:41.528, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:41.629, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:41.729, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:41.829, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:41.929, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:42.030, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:42.130, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:42.230, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:42.330, 21.31 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:42.431, 21.31 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:42.531, 21.31 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:42.631, 21.31 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:42.731, 21.31 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:42.832, 21.31 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:42.932, 21.31 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:43.032, 21.31 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:43.133, 21.31 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:43.233, 21.31 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:43.333, 21.39 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:43.433, 21.39 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:43.534, 21.39 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:43.634, 21.39 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:43.734, 21.39 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:46:43.834, 21.39 W, 0 %, 0 %, 19689 MiB, 1, 16
