timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/03/31 10:48:00.109, 21.48 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:00.221, 21.48 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:00.321, 21.48 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:00.421, 21.48 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:00.522, 21.48 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:00.622, 21.48 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:00.722, 21.48 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:00.822, 21.48 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:00.923, 21.48 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:01.023, 21.48 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:01.123, 21.48 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:01.223, 21.42 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:01.324, 21.42 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:01.424, 21.42 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:01.524, 21.42 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:01.624, 21.42 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:01.725, 21.42 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:01.825, 21.42 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:01.925, 21.42 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:02.026, 21.42 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:02.126, 21.42 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:02.226, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:02.326, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:02.427, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:02.527, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:48:02.627, 21.41 W, 0 %, 0 %, 19689 MiB, 1, 16
