timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/04/01 19:23:55.376, 22.27 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:55.476, 22.27 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:55.576, 22.27 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:55.676, 22.27 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:55.777, 22.27 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:55.877, 22.27 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:55.977, 22.27 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:56.077, 22.27 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:56.178, 22.27 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:56.278, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:56.379, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:56.479, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:56.579, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:56.679, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:56.780, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:56.880, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:56.980, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:57.080, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:57.186, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:57.286, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:57.386, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:57.487, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:57.587, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:57.687, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:57.787, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:57.888, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:57.988, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:58.088, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:58.188, 22.13 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:58.290, 22.06 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:58.390, 22.06 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:58.490, 22.06 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:58.590, 22.06 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:58.691, 22.06 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:58.791, 22.06 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:58.891, 22.06 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:58.991, 22.06 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:59.092, 22.06 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:59.192, 22.06 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:59.297, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:59.397, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:59.498, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:59.598, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:59.698, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:59.798, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:59.899, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
2026/04/01 19:23:59.999, 22.24 W, 0 %, 0 %, 19691 MiB, 1, 16
