timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/04/01 21:53:58.181, 22.63 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:58.281, 22.63 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:58.382, 22.63 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:58.482, 22.88 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:58.582, 22.88 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:58.682, 22.88 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:58.783, 22.88 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:58.883, 22.88 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:58.983, 22.88 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:59.083, 22.88 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:59.184, 22.88 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:59.284, 22.88 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:59.384, 22.88 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:59.484, 22.90 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:59.585, 22.90 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:59.685, 22.90 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:59.785, 22.90 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:59.886, 22.90 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:53:59.986, 22.90 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:54:00.086, 22.90 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:54:00.186, 22.90 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:54:00.287, 22.90 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:54:00.387, 22.90 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:54:00.487, 22.93 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:54:00.587, 22.93 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:54:00.688, 22.93 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:54:00.788, 22.93 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:54:00.888, 22.93 W, 0 %, 0 %, 20645 MiB, 1, 16
2026/04/01 21:54:00.988, 31.91 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:01.088, 31.91 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:01.188, 31.91 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:01.289, 31.91 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:01.389, 31.91 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:01.489, 121.63 W, 100 %, 72 %, 20645 MiB, 3, 16
2026/04/01 21:54:01.589, 121.63 W, 100 %, 72 %, 20645 MiB, 3, 16
2026/04/01 21:54:01.689, 121.63 W, 100 %, 72 %, 20645 MiB, 3, 16
2026/04/01 21:54:01.789, 121.63 W, 100 %, 72 %, 20645 MiB, 3, 16
2026/04/01 21:54:01.889, 121.63 W, 100 %, 72 %, 20645 MiB, 3, 16
2026/04/01 21:54:01.990, 271.55 W, 100 %, 72 %, 20645 MiB, 3, 16
2026/04/01 21:54:02.090, 271.55 W, 100 %, 72 %, 20645 MiB, 3, 16
2026/04/01 21:54:02.190, 271.55 W, 100 %, 72 %, 20645 MiB, 3, 16
2026/04/01 21:54:02.290, 271.55 W, 100 %, 72 %, 20645 MiB, 3, 16
2026/04/01 21:54:02.390, 271.55 W, 100 %, 72 %, 20645 MiB, 3, 16
2026/04/01 21:54:02.490, 313.79 W, 100 %, 78 %, 20645 MiB, 3, 16
2026/04/01 21:54:02.591, 313.79 W, 100 %, 78 %, 20645 MiB, 3, 16
2026/04/01 21:54:02.691, 313.79 W, 100 %, 78 %, 20645 MiB, 3, 16
2026/04/01 21:54:02.791, 313.79 W, 100 %, 78 %, 20645 MiB, 3, 16
2026/04/01 21:54:02.891, 313.79 W, 100 %, 78 %, 20645 MiB, 3, 16
2026/04/01 21:54:02.991, 287.77 W, 100 %, 78 %, 20645 MiB, 3, 16
2026/04/01 21:54:03.092, 287.77 W, 100 %, 78 %, 20645 MiB, 3, 16
2026/04/01 21:54:03.192, 287.77 W, 100 %, 78 %, 20645 MiB, 3, 16
2026/04/01 21:54:03.292, 287.77 W, 100 %, 78 %, 20645 MiB, 3, 16
2026/04/01 21:54:03.393, 287.77 W, 100 %, 78 %, 20645 MiB, 3, 16
2026/04/01 21:54:03.493, 181.78 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:03.593, 181.78 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:03.693, 181.78 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:03.794, 181.78 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:03.894, 181.78 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:03.994, 149.92 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:04.094, 149.92 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:04.195, 149.92 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:04.295, 149.92 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:04.395, 149.92 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:04.496, 149.92 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:04.596, 149.92 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:04.696, 149.92 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:04.796, 149.92 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:04.897, 149.92 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:04.997, 128.65 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:05.097, 128.65 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:05.197, 128.65 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:05.298, 128.65 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:05.398, 128.65 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:05.498, 128.65 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:05.599, 128.65 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:05.699, 128.65 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:05.799, 128.65 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:05.899, 128.65 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:06.000, 119.14 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:06.100, 119.14 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:06.200, 119.14 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:06.300, 119.14 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:06.401, 119.14 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:06.501, 119.14 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:06.601, 119.14 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:06.701, 119.14 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:06.802, 119.14 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:06.902, 119.14 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:07.002, 110.02 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:07.103, 110.02 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:07.203, 110.02 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:07.303, 110.02 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:07.403, 110.02 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:07.504, 110.02 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:07.604, 110.02 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:07.704, 110.02 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:07.804, 110.02 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:07.905, 110.02 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:08.005, 114.38 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:08.105, 114.38 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:08.205, 114.38 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:08.305, 114.38 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:08.405, 114.38 W, 0 %, 0 %, 20645 MiB, 3, 16
2026/04/01 21:54:08.506, 154.21 W, 58 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:08.606, 154.21 W, 58 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:08.706, 154.21 W, 58 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:08.806, 154.21 W, 58 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:08.906, 154.21 W, 58 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:09.006, 268.01 W, 58 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:09.106, 268.01 W, 58 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:09.207, 268.01 W, 58 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:09.307, 268.01 W, 58 %, 34 %, 20645 MiB, 3, 16
2026/04/01 21:54:09.407, 268.01 W, 58 %, 34 %, 20645 MiB, 3, 16
