timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/03/31 10:31:02.257, 21.82 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:02.368, 21.82 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:02.468, 21.82 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:02.568, 21.82 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:02.668, 21.82 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:02.769, 21.82 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:02.869, 21.82 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:02.969, 21.82 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:03.069, 21.82 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:03.170, 21.82 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:03.270, 21.82 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:03.370, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:03.471, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:03.571, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:03.671, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:03.771, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:03.872, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:03.972, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:04.072, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:04.172, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:04.273, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:04.373, 21.64 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:04.473, 21.64 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:04.574, 21.64 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:04.674, 21.64 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:04.774, 21.64 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:04.874, 21.64 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:04.975, 21.64 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:05.075, 21.64 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:05.175, 21.64 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:05.275, 21.64 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:05.376, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:05.476, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:05.576, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:05.676, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:05.777, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:05.877, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:05.977, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:06.077, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:06.178, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:06.278, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:06.378, 21.60 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:06.479, 21.60 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:06.579, 21.60 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:06.679, 21.60 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:06.779, 21.60 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:06.880, 21.60 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:06.980, 21.60 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:07.080, 21.60 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:07.180, 21.60 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:07.281, 21.60 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:07.381, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:07.481, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:07.582, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:07.682, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:07.782, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:07.882, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:07.983, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:08.083, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:08.183, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:08.283, 21.67 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:08.384, 21.86 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:08.484, 21.86 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:08.584, 21.86 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:08.684, 21.86 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:08.785, 21.86 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:08.885, 21.86 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:08.985, 21.86 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:09.086, 21.86 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:09.186, 21.86 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:09.286, 21.86 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:09.386, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:09.487, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:09.587, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:09.687, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:09.788, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:09.888, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:09.988, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:10.088, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:10.189, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:10.289, 21.77 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:10.389, 22.07 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:10.489, 22.07 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:10.590, 22.07 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:10.690, 22.07 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:10.790, 22.07 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:10.891, 22.07 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:10.991, 22.07 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:11.091, 22.07 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:11.191, 22.07 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:11.292, 22.07 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:11.392, 22.40 W, 0 %, 0 %, 19689 MiB, 1, 16
2026/03/31 10:31:11.492, 22.40 W, 0 %, 0 %, 19689 MiB, 1, 16
